"Population estimates, July 1, 2019,  (V2019),","Population estimates base, April 1, 2010,  (V2019),","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019),","Population, Census, April 1, 2010,","Persons under 5 years, percent,","Persons under 18 years, percent,","Persons 65 years and over, percent,","Female persons, percent,","White alone, percent,","Black or African American alone, percent,","American Indian and Alaska Native alone, percent,","Asian alone, percent,","Native Hawaiian and Other Pacific Islander alone, percent,","Two or More Races, percent,","Hispanic or Latino, percent,","White alone, not Hispanic or Latino, percent,","Veterans, 2014-2018,","Foreign born persons, percent, 2014-2018,","Housing units,  July 1, 2019,  (V2019),","Owner-occupied housing unit rate, 2014-2018,","Median value of owner-occupied housing units, 2014-2018,","Median selected monthly owner costs -with a mortgage, 2014-2018,","Median selected monthly owner costs -without a mortgage, 2014-2018,","Median gross rent, 2014-2018,","Building permits, 2019,","Households, 2014-2018,","Persons per household, 2014-2018,","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018,","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018,","Households with a computer, percent, 2014-2018,","Households with a broadband Internet subscription, percent, 2014-2018,","High school graduate or higher, percent of persons age 25 years+, 2014-2018,","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018,","With a disability, under age 65 years, percent, 2014-2018,","Persons  without health insurance, under age 65 years, percent,","In civilian labor force, total, percent of population age 16 years+, 2014-2018,","In civilian labor force, female, percent of population age 16 years+, 2014-2018,","Total accommodation and food services sales, 2012 ($1,000),","Total health care and social assistance receipts/revenue, 2012 ($1,000),","Total manufacturers shipments, 2012 ($1,000),","Total merchant wholesaler sales, 2012 ($1,000),","Total retail sales, 2012 ($1,000),","Total retail sales per capita, 2012,","Mean travel time to work (minutes), workers age 16 years+, 2014-2018,","Median household income (in 2018 dollars), 2014-2018,","Per capita income in past 12 months (in 2018 dollars), 2014-2018,","Persons in poverty, percent,","Total employer establishments, 2018,","Total employment, 2018,","Total annual payroll, 2018 ($1,000),","Total employment, percent change, 2017-2018,","Total nonemployer establishments, 2018,","All firms, 2012,","Men-owned firms, 2012,","Women-owned firms, 2012,","Minority-owned firms, 2012,","Nonminority-owned firms, 2012,","Veteran-owned firms, 2012,","Nonveteran-owned firms, 2012,","Population per square mile, 2010,","Land area in square miles, 2010,"
"14,930","15,015","-0.6","15,020","4.7","17.8","28.2","51.7","85.0","11.4","0.6","0.8","","2.3","4.3","81.6","1,222","3.4","10,240","74.3","243,800","1,458","374","698","46","6,445","2.28","92.4","4.5","84.7","64.8","85.6","32.1","7.0","13.1","59.0","54.1","6,419","","","","115,108","7,763","30.4","62,446","36,002","12.3","367","3,326","101,206","1.1","1,286","1,587","927","463","97","1,431","131","1,350","31.9","470.86"
"38,353","35,715","7.4","35,725","5.8","22.0","14.4","46.3","60.3","32.6","0.7","2.2","0.4","3.7","8.6","54.2","4,967","3.8","12,605","67.0","218,200","1,465","457","1,318","75","11,415","2.98","82.1","8.6","89.3","79.4","90.0","24.0","11.1","8.7","53.1","56.9","39,319","18,136","602,915","","260,725","7,058","26.6","67,001","28,873","8.9","473","10,252","375,823","-3.5","1,558","1,754","902","608","526","1,121","356","1,235","134.7","265.16"
"22,802","23,363","-2.4","23,368","4.8","16.0","17.0","50.0","63.4","32.8","0.3","1.4","0.1","2.0","3.0","61.2","1,462","4.4","9,501","66.9","161,400","1,209","367","802","49","7,187","2.51","86.6","6.0","77.8","66.0","86.7","28.1","9.7","12.7","46.3","46.3","49,916","135,037","","41,747","390,494","16,804","22.9","46,189","21,216","20.0","512","6,987","241,862","6.7","1,014","1,170","588","373","280","796","188","850","66.8","349.96"
"29,652","28,069","5.6","28,046","4.5","18.1","19.0","48.3","88.0","9.2","0.4","0.6","0.1","1.6","2.3","86.1","2,339","2.3","11,274","89.6","271,400","1,570","479","1,046","238","10,178","2.54","90.5","1.9","94.2","87.1","90.2","28.8","6.6","9.6","56.3","57.6","17,099","","","51,005","264,151","9,393","31.9","83,914","35,641","6.9","688","5,503","215,280","5.1","2,222","2,333","1,372","703","228","2,055","115","2,062","107.8","260.22"
"60,354","63,469","-4.9","63,506","4.3","18.4","23.3","50.8","76.2","21.5","0.3","0.5","","1.4","2.8","73.9","4,255","2.1","31,659","75.0","117,400","1,001","332","696","52","26,330","2.30","89.1","3.9","78.9","66.2","82.0","13.9","12.8","12.4","57.1","54.1","15,474","51,629","615,861","381,006","242,838","3,866","25.0","45,382","24,443","16.4","849","8,203","300,577","-0.5","3,169","3,608","2,068","1,202","617","2,878","397","3,001","65.5","968.94"
"17,608","18,500","-4.8","18,490","4.2","17.3","26.8","50.4","92.5","5.3","0.6","0.3","0.1","1.3","3.2","89.7","1,249","1.9","10,266","76.5","116,400","1,026","280","549","16","7,685","2.28","85.4","4.0","73.9","63.7","79.4","13.9","12.2","13.4","50.9","43.2","7,016","40,505","189,246","21,742","204,632","11,091","28.8","40,486","23,016","15.5","292","3,463","103,289","-2.4","1,032","1,197","849","221","50","1,113","88","1,051","38.3","483.10"
"23,902","24,051","-0.6","24,042","5.3","19.8","21.9","50.5","95.5","2.2","0.3","0.5","","1.4","2.2","93.6","1,608","1.4","11,814","70.1","168,700","1,170","380","780","71","9,338","2.52","86.9","2.3","75.2","63.2","81.4","13.9","13.8","12.7","59.2","55.2","39,866","46,821","161,504","","173,945","7,280","34.5","47,951","25,021","13.9","424","4,255","142,364","2.5","1,448","1,682","931","548","77","1,551","96","1,457","77.3","310.86"
"22,573","22,355","1.0","22,307","4.0","17.1","26.8","50.5","93.5","3.3","0.6","0.7","","1.8","2.0","91.9","1,491","2.7","11,532","78.3","213,000","1,296","377","728","68","8,979","2.48","90.1","3.3","78.0","69.5","86.5","26.5","9.4","11.5","56.7","52.9","44,317","24,176","197,599","16,474","360,059","16,078","24.8","54,805","31,594","12.0","435","5,086","164,304","-5.5","1,531","1,562","843","497","76","1,411","162","1,313","37.3","597.56"
"94,186","92,465","1.9","92,376","4.4","19.7","21.8","51.8","87.9","6.4","0.2","3.5","","1.9","3.3","85.2","7,005","5.2","41,096","74.1","194,800","1,350","421","949","162","38,343","2.38","87.9","6.4","89.7","81.7","92.2","34.8","7.7","8.3","61.6","56.3","128,289","381,711","815,656","700,237","891,006","9,591","23.2","65,467","34,901","6.7","2,010","29,061","1,194,695","-0.7","5,919","6,344","3,432","2,241","559","5,523","721","5,168","368.7","250.52"
"9,023","9,254","-2.5","9,254","4.2","16.9","21.1","43.6","66.8","29.6","0.6","0.7","0.1","2.3","7.3","60.5","679","4.2","3,989","72.1","181,900","1,184","391","872","23","3,139","2.29","85.5","8.6","79.4","68.6","82.4","15.7","6.5","12.7","47.6","54.6","6,176","27,151","","72,175","68,192","7,528","25.5","49,831","22,105","15.9","167","2,227","62,750","12.9","573","688","376","203","118","536","119","527","48.3","191.49"
