"Population estimates, July 1, 2019,  (V2019),","Population estimates base, April 1, 2010,  (V2019),","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019),","Population, Census, April 1, 2010,","Persons under 5 years, percent,","Persons under 18 years, percent,","Persons 65 years and over, percent,","Female persons, percent,","White alone, percent,","Black or African American alone, percent,","American Indian and Alaska Native alone, percent,","Asian alone, percent,","Native Hawaiian and Other Pacific Islander alone, percent,","Two or More Races, percent,","Hispanic or Latino, percent,","White alone, not Hispanic or Latino, percent,","Veterans, 2014-2018,","Foreign born persons, percent, 2014-2018,","Housing units,  July 1, 2019,  (V2019),","Owner-occupied housing unit rate, 2014-2018,","Median value of owner-occupied housing units, 2014-2018,","Median selected monthly owner costs -with a mortgage, 2014-2018,","Median selected monthly owner costs -without a mortgage, 2014-2018,","Median gross rent, 2014-2018,","Building permits, 2019,","Households, 2014-2018,","Persons per household, 2014-2018,","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018,","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018,","Households with a computer, percent, 2014-2018,","Households with a broadband Internet subscription, percent, 2014-2018,","High school graduate or higher, percent of persons age 25 years+, 2014-2018,","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018,","With a disability, under age 65 years, percent, 2014-2018,","Persons  without health insurance, under age 65 years, percent,","In civilian labor force, total, percent of population age 16 years+, 2014-2018,","In civilian labor force, female, percent of population age 16 years+, 2014-2018,","Total accommodation and food services sales, 2012 ($1,000),","Total health care and social assistance receipts/revenue, 2012 ($1,000),","Total manufacturers shipments, 2012 ($1,000),","Total merchant wholesaler sales, 2012 ($1,000),","Total retail sales, 2012 ($1,000),","Total retail sales per capita, 2012,","Mean travel time to work (minutes), workers age 16 years+, 2014-2018,","Median household income (in 2018 dollars), 2014-2018,","Per capita income in past 12 months (in 2018 dollars), 2014-2018,","Persons in poverty, percent,","Total employer establishments, 2018,","Total employment, 2018,","Total annual payroll, 2018 ($1,000),","Total employment, percent change, 2017-2018,","Total nonemployer establishments, 2018,","All firms, 2012,","Men-owned firms, 2012,","Women-owned firms, 2012,","Minority-owned firms, 2012,","Nonminority-owned firms, 2012,","Veteran-owned firms, 2012,","Nonveteran-owned firms, 2012,","Population per square mile, 2010,","Land area in square miles, 2010,"
"15,911","15,028","5.9","14,973","5.8","21.0","21.2","51.5","78.7","18.5","0.3","0.4","0.1","2.0","1.9","77.1","1,358","1.2","7,424","77.7","155,300","1,079","337","723","78","6,095","2.54","94.6","1.2","77.1","65.5","84.1","19.8","12.6","11.8","57.5","54.7","","","","9,911","143,824","9,507","30.3","56,176","26,890","13.5","292","2,359","64,034","-3.6","959","962","616","253","117","796","80","806","44.9","333.49"
"31,605","32,354","-2.3","32,353","5.2","19.3","21.6","51.4","76.9","19.1","0.9","0.6","","2.5","2.4","74.9","2,524","1.7","14,266","77.6","153,300","1,138","330","741","47","12,044","2.56","87.7","3.5","78.3","65.1","85.2","19.2","10.5","12.1","58.6","55.9","","","572,023","","273,370","8,442","25.0","49,170","24,343","13.0","574","6,082","223,325","-8.1","1,599","2,117","1,094","810","397","1,634","185","1,819","68.3","473.93"
"13,145","12,695","3.5","12,690","5.5","20.8","20.1","50.7","76.5","20.4","0.6","0.6","","1.8","3.2","74.0","970","1.0","5,677","84.3","204,400","1,337","357","808","54","4,789","2.66","89.8","3.1","85.8","75.1","83.5","15.9","9.9","13.6","61.7","56.8","5,047","21,569","98,420","","71,057","5,569","38.6","58,526","29,114","9.9","279","1,945","60,953","-3.3","870","893","444","335","159","695","69","778","35.7","355.27"
"14,860","16,264","-8.6","16,250","4.4","18.3","25.5","51.1","92.8","4.7","0.3","0.3","0.1","1.9","1.6","91.4","1,093","1.0","8,010","77.7","116,500","969","362","676","14","6,741","2.22","89.7","1.5","79.2","67.2","85.6","15.4","13.9","10.4","50.0","44.9","14,048","85,719","","7,653","75,144","4,630","24.2","47,794","26,918","14.8","247","2,502","80,381","-0.2","644","893","596","189","38","821","104","754","36.5","445.46"
"109,330","98,998","10.4","98,970","5.2","19.7","19.3","52.1","81.8","9.7","0.4","5.5","0.1","2.6","5.8","76.9","6,503","10.8","47,081","62.5","344,500","1,817","513","1,244","948","40,612","2.43","80.1","11.7","92.9","84.6","91.4","53.5","5.3","9.7","61.5","58.1","230,570","950,075","786,381","574,521","1,497,509","14,645","21.7","75,394","42,085","8.7","2,841","42,339","2,068,853","1.7","9,931","11,062","5,716","3,967","1,236","9,370","1,306","8,936","137.3","720.70"
"32,316","33,162","-2.6","33,164","5.6","20.7","24.6","51.3","67.8","28.8","0.7","0.8","0.2","1.7","9.1","59.9","2,700","6.4","21,319","67.9","165,000","1,165","388","797","81","13,401","2.36","93.5","10.5","79.2","63.8","81.3","18.5","8.3","17.0","54.1","48.2","53,568","62,723","667,932","78,932","348,195","10,443","21.8","43,210","24,355","17.3","725","8,809","280,559","2.1","2,387","2,997","1,716","802","335","2,560","212","2,536","73.8","449.50"
"33,419","33,152","0.8","33,148","4.2","18.9","23.3","50.3","94.1","3.3","0.3","0.8","","1.5","1.8","92.7","2,887","2.8","15,025","86.3","225,200","1,475","377","890","105","13,161","2.50","88.6","3.0","87.3","76.1","92.6","28.7","9.8","8.1","59.9","54.2","","","811,959","","321,378","9,693","28.3","68,410","33,983","7.4","747","10,216","466,631","0.7","2,351","2,597","1,606","743","176","2,352","283","2,232","61.2","541.20"
"6,280","6,824","-8.0","6,824","3.9","15.0","23.6","45.2","94.3","4.0","0.2","0.6","","1.0","1.0","93.4","421","0.4","3,356","82.7","102,400","1,040","295","663","24","2,523","2.26","87.2","1.6","81.3","71.9","91.5","17.4","10.9","9.2","49.5","51.2","2,286","7,619","","","33,844","5,023","28.8","50,511","24,275","14.1","73","1,296","68,547","-7.2","260","332","255","63","","315","43","227","19.1","357.73"
"78,997","74,929","5.4","68,676","4.6","19.7","21.8","50.8","89.6","7.2","0.4","1.2","","1.6","2.4","87.6","6,517","2.8","37,040","81.6","200,500","1,300","347","852","53","31,206","2.48","87.4","4.1","85.0","74.6","89.8","28.9","9.6","10.3","60.0","54.6","28,890","82,397","","265,148","521,240","7,490","27.2","61,541","31,796","10.4","1,726","16,305","621,971","4.7","5,506","4,688","2,592","1,385","311","4,257","567","3,799","91.2","753.02"
"4,147","4,727","-12.3","4,731","4.1","15.1","28.0","49.4","92.9","4.8","0.2","0.5","0.0","1.5","2.2","91.1","260","1.8","3,300","72.2","151,500","892","372","485","9","1,999","2.11","90.8","1.6","79.2","62.9","87.2","14.9","11.4","12.6","61.1","61.5","63,467","","","","17,227","3,703","25.6","46,137","29,127","10.7","120","1,889","69,297","-9.3","355","402","210","136","","371","79","294","8.9","529.16"
"75,558","73,753","2.4","73,750","4.2","18.5","21.9","49.2","92.8","4.7","0.3","0.6","","1.6","3.1","90.2","5,933","2.3","32,851","78.9","212,300","1,336","380","885","390","29,297","2.42","86.5","2.9","84.2","72.4","87.4","23.5","9.2","10.4","58.9","56.3","56,499","512,215","1,884,187","249,603","621,286","8,435","24.5","61,305","29,366","9.0","1,410","20,457","913,708","-0.2","4,703","5,645","3,051","1,784","282","5,174","728","4,536","76.3","967.00"
"236,842","207,696","14.0","207,627","5.8","18.1","11.1","49.9","75.0","9.7","0.6","11.0","0.1","3.6","15.6","61.4","12,490","23.6","118,880","43.5","669,400","2,955","941","1,936","743","104,716","2.18","79.4","29.8","95.1","90.3","94.1","74.6","3.6","6.7","77.0","72.8","1,362,362","1,450,588","54,117","935,338","2,608,839","11,802","29.0","117,374","69,051","6.3","6,339","144,679","12,479,304","3.2","21,303","21,665","11,888","7,902","6,403","14,039","2,366","18,087","7,993.6","25.97"
"29,791","30,072","-0.9","30,042","4.2","17.8","25.4","50.4","97.2","0.9","0.3","0.2","0.1","1.3","3.9","94.0","1,832","2.1","16,708","77.0","109,200","997","290","556","2","12,375","2.39","91.4","2.9","75.7","65.2","80.8","13.1","12.9","13.1","54.4","47.7","34,380","39,107","","40,239","285,688","9,570","26.3","43,532","24,868","15.7","414","4,077","109,768","0.3","1,715","2,103","1,358","513","78","1,988","257","1,752","63.3","474.69"
"30,725","28,554","7.6","28,545","6.3","22.8","16.9","50.5","67.2","27.2","0.8","1.1","0.1","3.6","5.2","63.2","2,937","3.0","12,417","81.3","195,100","1,447","423","1,050","109","10,911","2.57","85.0","5.3","84.1","69.2","85.6","20.1","7.5","11.3","60.5","62.0","18,500","18,193","76,113","","404,165","13,950","35.8","64,715","31,536","9.7","379","4,053","146,983","1.2","1,829","2,177","1,061","868","601","1,540","266","1,844","54.1","527.51"
"54,885","54,809","0.1","54,842","4.9","19.4","20.3","51.4","81.5","14.8","0.4","1.1","0.1","2.2","2.9","79.1","4,050","2.6","26,097","75.2","155,000","1,128","316","762","74","22,957","2.38","89.4","3.0","81.4","71.8","86.0","22.5","10.0","11.7","61.4","56.3","64,268","","1,555,414","","600,969","10,894","25.2","50,258","27,842","11.3","1,166","16,879","774,539","1.5","3,156","3,807","1,930","1,412","420","3,260","427","3,058","108.8","503.87"
"17,148","17,140","0.0","17,146","4.1","17.7","20.2","45.1","63.3","33.7","0.4","0.4","","2.1","2.4","61.3","1,252","1.7","7,479","75.3","127,300","1,008","319","726","49","5,827","2.56","89.1","2.7","77.7","59.9","77.9","11.3","13.0","14.0","50.6","54.9","","17,355","","","82,977","4,856","35.5","46,261","19,734","20.2","248","1,894","70,139","-1.9","788","685","367","274","128","534","","635","29.6","579.66"
"21,004","24,102","-12.9","24,098","4.2","17.3","23.1","49.4","95.3","3.4","0.2","0.4","","0.7","0.9","94.6","737","1.8","11,556","78.1","70,800","898","309","598","4","8,871","2.39","90.7","2.4","68.8","59.7","70.3","10.6","18.6","12.9","37.3","32.6","15,258","53,399","91,685","265,343","173,035","7,252","27.1","30,806","18,865","27.6","384","5,018","246,361","0.8","802","1,056","514","366","41","961","226","753","47.9","502.76"
"16,231","17,426","-6.9","17,434","4.4","16.4","21.8","46.4","42.4","54.8","0.4","0.9","0.1","1.5","2.5","40.7","1,274","2.0","8,236","71.7","110,800","1,039","376","679","","6,048","2.38","89.1","3.2","76.1","62.5","79.0","14.3","14.5","12.7","48.7","52.8","","10,383","69,084","27,130","103,582","6,089","29.7","41,927","20,657","22.5","245","2,223","78,338","-3.6","727","868","453","274","246","583","101","644","30.8","566.17"
"52,605","46,688","12.7","46,689","6.5","24.7","16.0","50.1","79.4","14.6","0.8","1.7","0.2","3.3","11.6","69.8","3,676","8.8","19,239","74.2","285,300","1,748","447","1,141","284","16,903","2.90","87.4","11.7","87.0","79.1","85.2","24.7","6.8","12.5","65.2","63.0","59,342","204,330","563,583","296,847","550,139","11,483","38.8","73,116","30,812","8.7","1,020","13,216","556,017","3.6","3,758","4,073","2,078","1,406","477","3,331","363","3,369","123.1","379.23"
"5,131","5,175","-0.9","5,190","4.1","17.5","24.1","50.2","98.1","0.4","0.4","0.2","0.0","0.9","1.6","96.8","343","0.3","2,907","72.2","171,400","1,315","336","568","8","2,266","2.25","91.1","1.1","80.4","67.7","92.5","18.5","11.7","8.9","52.0","45.7","","","","","18,648","3,577","36.4","55,484","28,686","11.9","63","382","11,372","-12.8","277","200","94","74","","188","","181","15.7","329.53"
"14,619","14,025","4.2","14,034","4.4","19.5","21.8","50.5","90.6","4.7","0.7","1.4","0.1","2.5","6.4","85.3","1,109","3.6","6,396","74.8","335,600","1,825","486","1,120","174","5,639","2.51","91.0","6.5","87.7","74.5","88.7","32.2","5.8","10.6","63.2","58.2","","","89,778","","81,456","5,687","37.0","77,936","39,946","6.5","353","2,915","127,849","-1.8","1,426","1,596","841","579","120","1,441","236","1,304","79.7","176.18"
"352,802","316,240","11.6","316,236","6.0","23.5","15.4","51.8","68.2","24.5","0.6","3.7","0.1","2.9","9.5","60.6","25,470","8.4","134,267","75.5","231,700","1,573","490","1,226","3,202","123,010","2.73","87.0","11.5","93.8","89.1","92.1","39.9","7.5","9.8","68.1","63.6","514,490","1,338,305","3,845,325","1,729,433","4,657,329","14,381","26.4","80,214","36,641","7.6","7,567","118,890","5,265,317","4.1","24,896","23,311","12,333","8,455","6,470","15,928","2,847","19,274","747.1","423.30"
"11,880","12,597","-5.7","12,586","5.6","20.9","22.6","50.4","69.9","27.6","0.4","0.3","","1.8","2.3","68.3","1,007","1.4","6,348","69.5","107,400","1,104","326","636","16","4,543","2.63","92.5","2.3","67.2","54.0","83.9","10.2","15.2","14.8","54.3","53.1","4,461","13,151","74,806","29,566","56,529","4,557","31.1","39,212","20,585","19.3","222","1,761","56,401","-1.7","670","684","352","276","134","522","140","513","26.5","475.27"
"6,963","7,256","-4.0","7,256","3.7","14.7","25.5","51.5","44.8","44.4","6.7","0.6","0.1","3.4","1.8","43.6","592","1.6","3,391","83.6","168,900","1,285","370","780","19","2,856","2.45","93.7","2.5","77.4","59.8","78.6","13.3","12.7","15.2","57.9","53.7","","","","","14,698","2,054","33.7","59,192","37,059","12.3","152","1,648","72,406","1.4","410","460","278","102","148","272","67","351","39.7","182.82"
"71,222","65,228","9.2","65,203","5.7","23.1","16.9","50.6","87.0","7.8","0.5","1.7","0.1","2.8","9.2","79.0","6,018","6.6","27,398","78.2","384,100","2,208","597","1,255","202","24,333","2.82","89.0","8.5","92.2","86.9","92.2","35.9","5.7","10.1","67.2","61.4","108,134","274,753","137,765","159,724","920,778","13,838","40.0","97,469","44,724","6.1","1,880","18,886","901,569","-0.1","6,592","6,836","3,713","2,258","692","5,908","794","5,625","100.7","647.45"
"1,147,532","1,081,703","6.1","1,081,726","6.3","23.3","14.0","50.4","64.7","10.6","0.5","20.1","0.1","3.9","16.5","50.0","74,376","31.2","416,058","68.0","550,000","2,659","844","1,851","2,138","394,447","2.88","85.4","38.9","96.7","93.0","92.1","61.1","4.4","8.8","70.7","64.9","2,795,360","6,870,151","1,408,820","25,177,210","14,589,534","13,043","32.2","121,133","54,725","6.1","31,510","637,023","52,368,335","3.8","114,600","115,917","62,967","41,905","47,911","64,164","12,378","98,963","2,766.8","390.97"
"10,953","11,149","-1.8","11,151","4.9","18.4","23.7","53.1","57.3","37.4","0.9","1.2","0.2","3.0","3.9","54.9","716","1.6","5,894","69.6","188,100","1,214","434","868","33","4,463","2.43","88.7","3.5","77.6","57.4","82.8","16.5","9.4","12.0","61.1","60.0","19,587","68,391","90,738","","236,634","21,066","37.1","52,681","26,603","13.7","303","3,293","98,218","-1.8","805","842","470","229","146","640","139","614","43.4","257.12"
"28,544","28,012","1.9","28,001","4.7","19.9","17.9","51.0","64.8","32.2","0.4","0.8","0.1","1.7","3.8","62.0","2,167","2.9","11,856","76.0","162,300","1,318","395","948","89","10,391","2.65","87.0","4.2","82.5","70.3","83.6","17.2","10.3","11.2","63.1","60.0","15,357","15,514","","","144,913","5,177","29.9","55,880","27,106","12.5","362","5,587","236,886","26.4","1,416","1,545","852","555","486","1,031","101","1,382","55.6","503.72"
"14,318","15,877","-9.8","15,903","4.7","19.6","23.0","49.1","98.2","0.5","0.3","0.2","0.0","0.8","1.1","97.3","927","0.4","7,563","76.3","75,700","888","298","565","1","5,841","2.48","93.2","0.7","72.1","60.0","75.5","10.0","19.3","11.6","38.0","35.6","","24,742","","5,293","102,343","6,523","28.8","29,226","22,924","25.2","203","1,955","63,898","2.4","415","805","354","269","","757","99","655","48.1","330.53"
"9,932","10,039","-1.1","10,052","4.6","18.9","23.1","51.6","65.8","30.5","0.8","0.5","","2.4","3.2","63.5","775","1.1","4,760","73.0","146,300","1,155","357","847","35","3,963","2.46","95.2","2.7","77.5","58.5","81.0","17.5","9.5","12.4","61.5","57.1","1,361","3,338","","","40,387","4,101","41.4","46,221","25,177","15.7","138","814","24,907","1.9","537","426","239","154","48","361","60","348","33.8","297.46"
"37,348","36,859","1.3","36,858","5.0","19.9","19.6","50.8","87.8","8.0","0.6","0.9","0.1","2.7","3.8","84.7","4,427","2.2","16,857","76.3","228,300","1,481","384","983","100","14,759","2.50","90.9","3.4","88.8","80.5","89.1","22.8","12.1","10.3","59.0","52.8","40,449","128,080","22,059","22,713","496,201","13,452","34.0","66,701","33,295","9.1","875","7,440","220,812","0.3","2,443","3,133","1,851","841","203","2,811","455","2,517","169.2","217.81"
"16,720","17,286","-3.3","17,286","5.3","20.4","22.4","50.6","96.3","1.6","0.3","0.6","","1.3","1.8","94.7","995","1.3","8,368","76.8","121,000","1,057","374","713","28","6,987","2.39","90.3","2.1","78.5","73.4","88.2","18.2","11.3","9.9","56.6","50.9","18,339","46,134","","","184,035","10,872","25.0","52,478","26,459","12.4","287","3,570","143,433","-3.9","885","1,177","666","389","31","1,097","229","898","48.6","355.78"
"89,313","78,269","14.1","78,305","5.8","22.7","17.8","50.2","90.5","4.7","0.5","1.8","0.1","2.4","9.3","82.3","6,737","6.2","35,450","77.7","245,100","1,562","426","1,122","771","30,973","2.71","88.7","9.6","89.2","79.1","88.6","28.1","7.8","10.5","65.6","61.0","117,545","114,050","2,537,614","","1,346,134","16,760","31.4","73,250","33,961","7.0","1,534","25,948","1,137,264","-3.8","5,797","6,752","3,985","2,187","536","5,980","648","5,768","189.4","413.50"
"56,042","56,128","-0.2","56,159","4.5","18.7","24.2","50.8","89.6","7.9","0.5","0.5","0.1","1.5","2.9","87.2","3,966","2.0","30,069","79.8","178,000","1,207","362","724","117","23,104","2.37","88.3","3.4","81.2","69.2","87.0","20.5","11.3","11.8","56.6","52.3","44,746","","","291,376","458,981","8,136","29.6","52,639","28,866","15.3","1,163","13,042","387,629","2.3","3,654","4,570","2,548","1,459","324","4,133","457","3,980","81.3","690.43"
"27,270","25,742","5.9","25,691","5.3","19.8","20.5","54.2","80.7","15.3","0.4","0.9","0.1","2.6","3.8","77.6","2,366","3.6","11,162","83.9","230,600","1,548","514","1,124","123","9,842","2.55","88.7","4.6","93.4","85.6","91.0","34.5","8.5","10.7","59.8","54.3","","11,726","","76,018","75,319","2,901","33.6","74,931","39,900","6.9","397","2,714","100,821","2.4","1,825","1,857","966","722","228","1,596","288","1,464","89.8","286.01"
"15,749","15,291","3.0","15,279","4.8","19.3","23.5","49.6","95.5","2.0","0.2","0.5","","1.7","3.0","93.0","1,063","3.0","8,110","82.2","170,000","1,193","321","639","26","6,480","2.40","93.7","3.1","77.1","70.7","85.5","22.3","9.0","13.7","56.8","51.8","7,649","44,960","","","70,667","4,592","34.3","49,729","26,134","12.3","324","2,473","71,137","7.2","1,286","1,525","819","554","115","1,389","106","1,371","40.2","380.42"
"107,766","99,850","7.9","99,863","5.0","21.7","18.4","51.0","86.0","9.5","0.5","1.9","0.1","2.0","3.1","83.5","7,405","3.7","42,264","81.6","275,800","1,730","474","1,155","992","38,599","2.66","89.2","4.3","92.7","85.5","93.1","39.2","6.0","7.3","67.4","63.6","164,727","706,432","917,184","3,161,419","1,752,104","17,405","25.5","88,652","39,604","5.2","3,211","48,367","1,993,738","2.8","8,551","10,101","5,966","3,060","761","8,982","1,215","8,315","213.1","468.54"
"33,911","36,253","-6.5","36,241","5.3","20.2","24.8","52.1","61.2","36.3","0.4","0.7","","1.5","2.2","59.7","2,666","2.0","18,207","74.7","112,700","999","312","644","82","14,025","2.42","93.5","3.9","67.8","55.2","81.9","15.9","12.0","11.3","53.8","50.1","35,956","159,946","573,433","99,184","358,082","9,989","24.9","42,289","22,716","14.5","678","9,503","354,273","-2.3","1,812","2,257","1,271","745","433","1,726","241","1,922","44.3","817.84"
"11,336","12,245","-7.4","12,243","4.1","16.4","15.3","37.2","37.8","60.2","0.3","0.7","","1.1","2.8","35.7","920","1.8","4,205","73.2","96,400","994","345","810","12","3,688","2.29","80.3","4.2","78.4","61.9","76.0","9.0","11.1","10.7","42.5","56.4","11,448","","261,515","1,774","130,752","11,033","24.7","44,534","17,500","26.7","104","2,142","73,523","2.1","388","345","212","119","209","124","47","285","41.5","295.23"
"19,819","18,389","7.8","18,403","6.2","23.8","17.8","51.3","87.6","7.3","0.4","2.0","0.1","2.6","6.0","82.2","1,567","4.4","8,488","80.2","238,300","1,516","457","1,015","170","7,357","2.62","91.7","7.1","90.4","81.4","86.4","27.8","9.9","12.5","67.9","65.6","14,944","","","14,587","183,922","9,798","30.6","64,979","32,565","8.1","341","2,768","94,261","1.9","1,430","1,440","791","422","69","1,291","307","1,066","117.8","156.25"
"15,550","15,554","0.0","15,533","4.0","16.5","25.3","48.6","92.5","5.7","0.3","0.2","","1.2","3.8","89.1","1,014","2.1","9,256","79.2","95,100","864","266","530","28","6,542","2.28","89.5","4.7","74.3","64.4","82.1","12.5","13.9","12.9","51.5","50.5","4,419","11,349","","","40,503","2,668","26.5","33,969","20,930","18.4","156","1,326","41,704","5.2","989","1,476","861","387","","1,416","113","1,269","35.1","442.18"
"23,753","21,692","9.5","21,717","3.7","17.2","22.9","50.9","80.4","15.8","0.4","1.7","","1.7","3.1","77.8","1,601","3.8","9,613","84.9","344,000","1,731","532","1,197","218","8,426","2.53","89.2","3.9","90.1","80.9","90.9","39.2","8.3","7.5","58.7","54.6","25,635","","27,105","","215,509","10,096","31.1","89,741","47,806","6.7","674","17,761","2,273,110","20.1","2,294","2,812","1,640","707","380","2,356","327","2,265","77.2","281.42"
"7,025","6,940","1.2","6,945","4.6","17.5","23.6","49.0","69.0","26.2","1.7","0.5","","2.6","3.1","66.4","735","2.7","3,513","83.6","161,800","1,214","346","893","26","2,826","2.50","92.7","2.4","74.5","57.0","86.0","19.8","8.7","14.2","55.7","47.4","","","","","12,350","1,753","33.9","54,516","27,306","12.2","119","633","25,019","-1.7","435","424","329","50","92","324","91","307","22.0","315.14"
"76,523","67,379","13.6","67,009","4.9","19.7","25.8","51.7","80.3","13.6","0.4","2.6","0.1","2.9","6.1","75.3","9,230","6.5","34,135","74.5","339,600","1,785","552","1,248","311","28,766","2.54","85.6","7.3","93.7","85.9","95.0","49.6","8.0","7.9","57.2","52.9","264,102","305,509","1,621,349","131,586","630,200","9,138","25.1","83,048","43,815","7.0","1,717","28,496","1,079,677","1.8","5,800","6,439","3,246","2,327","827","5,294","1,070","4,899","470.4","142.44"
"37,109","35,277","5.2","35,270","5.3","20.8","19.8","51.0","72.7","23.2","0.5","1.0","0.1","2.5","3.4","70.2","3,577","3.1","16,025","74.7","262,300","1,736","488","1,036","203","14,304","2.52","88.4","4.7","87.6","75.1","87.5","28.2","10.3","9.0","63.8","58.1","34,065","43,959","","51,219","246,871","6,974","29.9","71,376","35,344","9.2","676","9,672","471,840","-0.2","2,375","2,621","1,488","792","444","2,030","520","1,849","111.8","315.61"
"2,190","2,319","-5.6","2,321","4.4","13.3","35.5","50.4","97.6","1.1","0.3","0.6","0.0","0.3","1.1","96.7","286","0.4","1,890","81.9","180,100","1,016","336","561","13","1,123","1.97","96.5","1.2","79.9","73.6","86.9","23.1","13.8","17.2","46.2","43.7","","3,306","","","8,555","3,811","24.9","46,147","30,967","12.7","84","347","9,776","0.0","249","349","163","120","","332","","292","5.6","415.16"
"50,557","54,182","-6.7","54,151","4.5","19.2","24.5","51.9","74.4","22.6","0.4","0.5","0.1","2.0","5.8","69.5","3,965","2.9","26,170","72.4","94,200","927","295","592","16","21,598","2.36","89.7","5.9","78.8","67.2","78.8","12.8","14.8","14.1","51.3","47.3","41,307","51,948","834,700","","581,502","10,978","23.4","36,683","21,501","20.0","781","10,491","357,730","-3.4","2,384","3,211","1,839","1,049","435","2,631","324","2,726","141.6","382.33"
"330,818","306,756","7.8","306,935","6.0","22.4","15.9","52.6","57.0","30.9","0.4","9.1","0.1","2.6","6.0","52.2","18,593","12.8","139,274","62.7","233,400","1,559","476","1,128","1,775","127,111","2.54","84.5","15.4","91.5","85.4","91.5","42.9","7.6","10.0","69.7","65.3","832,839","2,887,909","1,808,163","7,293,945","5,519,851","17,527","22.3","68,572","37,999","9.0","9,406","183,138","9,926,921","4.3","25,896","27,519","14,973","9,261","8,667","17,408","3,061","22,774","1,313.4","233.70"
"37,591","33,168","13.3","33,153","5.4","20.1","20.3","50.5","80.8","15.6","0.6","0.6","0.1","2.3","3.3","78.1","3,209","3.4","17,916","79.7","218,100","1,358","416","910","276","13,575","2.60","88.2","5.3","86.3","74.5","84.2","23.4","11.9","12.9","61.0","55.3","18,177","24,573","426,830","45,334","276,447","8,269","36.3","59,343","31,284","11.3","586","7,317","353,326","2.6","2,329","2,460","1,349","812","378","2,023","289","2,013","66.8","496.30"
"413,538","312,348","32.4","312,311","6.8","27.9","9.7","50.4","67.0","8.1","0.5","20.3","0.1","3.9","13.9","54.8","21,469","24.3","139,974","77.8","492,300","2,737","763","1,813","2,978","125,309","3.06","86.5","31.5","97.0","93.7","93.5","60.8","3.7","6.9","75.3","68.5","877,045","1,188,530","1,636,892","2,319,443","5,140,369","15,258","34.2","136,268","53,408","3.6","10,847","165,167","10,056,288","3.1","37,251","33,392","17,450","12,179","12,053","19,974","2,922","28,790","605.8","515.56"
"23,423","25,589","-8.5","25,587","4.5","18.5","22.2","47.9","94.5","3.7","0.4","0.3","","1.0","2.0","92.9","1,610","1.2","11,781","70.7","88,000","926","285","538","12","9,149","2.47","88.0","2.2","70.3","48.2","75.7","11.4","21.5","12.3","41.4","40.5","","53,337","","33,426","208,128","8,170","30.6","32,718","18,750","24.8","253","2,451","69,449","-1.6","1,044","1,530","779","394","","1,482","125","1,258","58.8","435.52"
"10,603","11,390","-6.9","11,391","4.0","15.5","36.7","52.7","69.0","28.4","0.4","0.8","","1.5","2.5","67.1","1,209","2.9","7,684","75.7","237,700","1,433","425","817","27","5,142","2.08","89.0","3.4","82.4","72.0","88.9","30.9","8.8","13.0","47.8","41.4","18,922","87,005","","83,897","161,485","14,372","27.2","50,739","37,196","12.3","455","4,033","150,858","2.4","1,075","1,640","780","512","113","1,485","161","1,272","85.5","133.25"
"17,148","15,927","7.7","15,935","5.9","22.8","16.3","51.1","79.4","15.4","1.5","1.1","","2.6","2.9","77.2","1,208","2.1","7,268","86.2","206,100","1,474","434","1,079","118","6,170","2.66","93.0","2.4","85.9","70.2","89.8","20.4","7.8","9.7","65.1","60.6","10,601","17,485","209,245","11,983","133,291","8,341","37.5","68,720","32,809","7.3","349","3,536","167,854","2.3","1,109","1,207","671","450","109","1,048","138","992","58.2","273.94"
"26,836","23,578","13.8","23,584","5.9","24.6","13.4","49.4","77.9","16.1","0.8","1.6","0.1","3.5","5.8","73.3","3,448","2.5","10,257","77.1","301,600","1,906","504","1,193","155","9,103","2.82","84.5","4.2","93.2","86.0","93.5","34.6","7.9","7.4","66.7","60.6","21,847","21,298","","","232,398","9,486","38.2","87,321","37,316","6.8","481","5,405","288,274","2.0","1,426","1,554","803","555","366","1,132","153","1,284","131.3","179.64"
"98,535","94,422","4.4","94,392","4.1","15.3","13.2","48.3","86.5","4.3","0.3","6.3","0.1","2.5","3.5","83.6","4,564","7.9","41,053","55.0","221,900","1,426","454","972","533","35,483","2.50","74.5","10.4","92.0","85.8","92.5","45.8","7.2","10.4","57.3","55.3","186,543","489,682","936,778","593,010","1,280,568","13,452","19.2","54,641","28,920","24.1","1,977","31,373","1,249,236","4.5","5,313","6,198","3,216","1,936","560","5,244","560","5,187","243.9","387.01"
